date,Temperature @ 2m [deg C],Sea-Level Pressure (Est) [mBar],Avg Wind Speed @ 2m [m/s],Avg Wind Direction @ 2m [deg],Avg Wind Shear [1/s],Turbulence Intensity @ 2m,Friction Velocity (u*) [m/s],Avg Wind Speed @ 80m [m/s]
2010-03-27 05:00:00,0.15582749999999998,1016.2399999999999,1.3558288333333333,191.24669,0.06127016666666669,0.12641999999999998,0.36531499999999995,4.2172849999999995
2010-03-27 06:00:00,0.2717018333333334,1017.2866666666664,2.4794166666666664,306.05183333333326,0.03955033333333333,0.12043166666666665,0.2265383333333333,4.226605000000001
2010-03-27 07:00:00,0.5420376666666668,1018.1250000000003,2.581278333333333,316.4436666666668,0.045698999999999976,0.119705,0.23098000000000005,4.3802416666666675
2010-03-27 08:00:00,1.6552900000000002,1018.6833333333333,4.272141666666667,337.75883333333326,0.06188433333333332,0.10042500000000003,0.27784166666666665,6.533623333333334
2010-03-27 09:00:00,2.405433333333333,1019.1333333333333,4.2618599999999995,101.60247166666669,0.06698683333333331,0.117,0.342595,6.994718333333332
2010-03-27 10:00:00,3.530711666666666,1019.5549999999993,5.192209999999998,201.48574333333343,0.07570300000000002,0.11858166666666668,0.3932833333333333,8.26568
2010-03-27 11:00:00,3.978318333333333,1020.0083333333328,7.316911666666669,75.608475,0.09638916666666662,0.11650833333333334,0.5811200000000002,11.84791666666667
2010-03-27 12:00:00,4.226504999999999,1020.2683333333345,5.605646666666663,126.45073283333328,0.08741683333333337,0.12335000000000002,0.46324000000000004,9.302425
2010-03-27 13:00:00,4.133221666666667,1020.4483333333333,6.154666666666668,23.32601666666666,0.1261941666666667,0.12595666666666663,0.64169,11.182115
2010-03-27 14:00:00,4.172041666666665,1020.6766666666664,5.430051666666669,22.606449999999995,0.11323683333333337,0.12136000000000004,0.619645,10.284293333333332
2010-03-27 15:00:00,4.384911666666667,1021.5350000000001,1.704354833333333,86.88974,0.04312016666666669,0.23594333333333337,-1.3578016666666668,3.7297448333333327
2010-03-27 16:00:00,4.9417783333333345,1021.9949999999993,2.038135333333334,176.62175499999992,0.013040833333333331,0.21235000000000012,-9.717600000000004,2.2558640000000003
