date,Temperature @ 2m [deg C],Sea-Level Pressure (Est) [mBar],Avg Wind Speed @ 2m [m/s],Avg Wind Direction @ 2m [deg],Avg Wind Shear [1/s],Turbulence Intensity @ 2m,Friction Velocity (u*) [m/s],Avg Wind Speed @ 80m [m/s]
2016-07-08 14:00:00,29.144366666666674,1021.4066666666666,3.1765200000000005,144.76666666666662,0.11639866666666666,0.19795333333333334,0.34363,6.039580000000001
2016-07-08 15:00:00,25.95839999999999,1021.616666666666,4.302366666666667,100.29490000000001,0.04052166666666666,0.1567083333333333,0.45263833333333336,6.763356666666664
2016-07-08 16:00:00,26.379733333333334,1021.6849999999998,4.289903333333334,141.80966666666666,0.2558295000000001,0.2081433333333333,0.6841799999999999,10.504803333333335
2016-07-08 17:00:00,26.71285000000001,1021.2633333333325,3.7558966666666658,151.57983333333334,0.12617383333333335,0.19653,0.35902333333333325,6.858533333333333
2016-07-08 18:00:00,24.862666666666666,1021.2833333333332,2.2908154999999994,168.0603333333334,0.06649,0.13032999999999995,0.2678666666666667,4.508955
2016-07-08 19:00:00,21.812166666666663,1021.8250000000006,1.9728729999999999,191.34983333333335,0.044691333333333326,0.05733999999999998,0.1899633333333333,3.2076633333333344
2016-07-08 20:00:00,19.57551666666666,1022.3300000000003,2.191341333333334,204.29916666666668,0.04041466666666666,0.07516500000000001,0.2309733333333334,2.2982096666666663
2016-07-08 21:00:00,21.09713333333333,1022.9850000000002,1.6393451666666665,255.8741666666667,0.018778000000000003,0.10806333333333339,-4.737485000000002,2.3885500000000004
2016-07-08 22:00:00,21.006416666666674,1023.02,1.6311648333333335,270.5898333333333,0.044657166666666664,0.1143233333333333,0.28472000000000003,3.3745416666666657
2016-07-08 23:00:00,19.668950000000002,1022.845,2.0604199999999993,261.3105,0.05467200000000001,0.09318833333333336,0.3457400000000001,3.9817966666666686
2016-07-09 00:00:00,18.146533333333334,1022.5766666666659,1.7606803333333334,223.708,0.03309866666666667,0.09939666666666665,-11.261528333333334,2.617349
2016-07-09 01:00:00,17.746066666666664,1022.5366666666666,2.1604243333333337,229.43499999999992,0.05336716666666667,0.0840416666666667,0.29744333333333317,2.1341740000000002
2016-07-09 02:00:00,17.17106666666666,1022.4833333333336,1.5197195,212.23315000000005,0.018423000000000002,0.09066499999999998,-11.353398333333333,1.3984585
2016-07-09 03:00:00,17.33743333333333,1022.3200000000011,1.255320333333334,227.72677000000004,0.013215166666666667,0.08807166666666669,-4.752644999999999,1.3095566666666667
